set J: 1 2 3 4 5 6 7 8 9 10;

param Q:  1 2 3 4 5 6 7 8 9 10 :=
1   -0.7824    0.0224    0.0399   -0.0014    0.0286   -0.0346   -0.0076    0.0403    0.0284    0.0446
2    0.0224   -0.7590   -0.0119    0.0004   -0.0077    0.0092    0.0020   -0.0107   -0.0075   -0.0118
3    0.0399   -0.0119   -0.4479    0.0001   -0.0023    0.0026    0.0006   -0.0030   -0.0021   -0.0033
4   -0.0014    0.0004    0.0001    0.0938    0.0000   -0.0000   -0.0000    0.0001    0.0000    0.0001
5    0.0286   -0.0077   -0.0023    0.0000    0.2639    0.0009    0.0002   -0.0010   -0.0007   -0.0010
6   -0.0346    0.0092    0.0026   -0.0000    0.0009    0.6285   -0.0002    0.0010    0.0007    0.0011
7   -0.0076    0.0020    0.0006   -0.0000    0.0002   -0.0002    0.8115    0.0002    0.0001    0.0002
8    0.0403   -0.0107   -0.0030    0.0001   -0.0010    0.0010    0.0002    0.8257   -0.0007   -0.0012
9    0.0284   -0.0075   -0.0021    0.0000   -0.0007    0.0007    0.0001   -0.0007    0.9145   -0.0008
10    0.0446   -0.0118   -0.0033    0.0001   -0.0010    0.0011    0.0002   -0.0012   -0.0008    0.9285
;

param c :=
1     1.2384
2     0.4485
3     0.7971
4    -0.0276
5     0.5727
6    -0.6912
7    -0.1516
8     0.8059
9     0.5673
10    0.8923
;

param H :=
1     2.0000
2     1.4836
3     0.5536
4     1.7737
5     1.9010
6     1.5181
7     1.6366
8     1.6147
9     1.0883
10    1.4832
;


param r1 := 10;
param r2 := 10;

